Field,StrategyOrDate,MOMENTUM_WINDOW,Value
AggReturn,2018-06-07 00:00:00,63,0.0015913890182659
AggReturn,2018-06-08 00:00:00,252,-0.0054587146723215
AggReturn,2018-06-08 00:00:00,126,-0.0046629997103197
AggReturn,2018-06-08 00:00:00,63,0.0036801246982108
AggReturn,2018-06-11 00:00:00,252,-0.0011428350029449
AggReturn,2018-06-11 00:00:00,126,-0.0038865924359139
AggReturn,2018-06-11 00:00:00,63,0.0002313887692025
AggReturn,2018-06-12 00:00:00,252,0.0081243568210351
AggReturn,2018-06-12 00:00:00,126,0.0073145113320462
AggReturn,2018-06-12 00:00:00,63,0.0065530559508849
AggReturn,2018-06-13 00:00:00,252,0.0014628248589901
AggReturn,2018-06-13 00:00:00,126,-0.0006561167226043
AggReturn,2018-06-13 00:00:00,63,-0.0041699855827114
AggReturn,2018-06-14 00:00:00,252,-0.0024097832256626
AggReturn,2018-06-14 00:00:00,126,-0.0007949570473459
AggReturn,2018-06-14 00:00:00,63,-0.0034486730319249
AggReturn,2018-06-15 00:00:00,252,-0.0036223117065848
AggReturn,2018-06-15 00:00:00,126,-0.0012095808653936
AggReturn,2018-06-15 00:00:00,63,-0.0027350003033138
AggReturn,2018-06-18 00:00:00,252,-0.0075138642554923
AggReturn,2018-06-18 00:00:00,126,-0.0056199009683367
AggReturn,2018-06-18 00:00:00,63,-0.0060871149512619
AggReturn,2018-06-19 00:00:00,252,-0.0002591177233808
AggReturn,2018-06-19 00:00:00,126,0.0027831549565842
AggReturn,2018-06-19 00:00:00,63,0.0012568163760882
AggReturn,2018-06-20 00:00:00,252,0.0008814924928911
AggReturn,2018-06-20 00:00:00,126,-0.0017131344621497
AggReturn,2018-06-20 00:00:00,63,-0.0019557026570863
AggReturn,2018-06-21 00:00:00,252,0.003497602276856
AggReturn,2018-06-21 00:00:00,126,0.003351135186844
AggReturn,2018-06-21 00:00:00,63,-0.0030475112394277
AggReturn,2018-06-22 00:00:00,252,-0.0019364704724675
AggReturn,2018-06-22 00:00:00,126,-0.0022527320441486
AggReturn,2018-06-22 00:00:00,63,0.0092549074298181
AggReturn,2018-06-25 00:00:00,252,-0.0054404528192886
AggReturn,2018-06-25 00:00:00,126,-0.0001990185106898
AggReturn,2018-06-25 00:00:00,63,-0.0032043578802666
AggReturn,2018-06-26 00:00:00,252,-0.0032096499309305
AggReturn,2018-06-26 00:00:00,126,-0.0021362018761077
AggReturn,2018-06-26 00:00:00,63,-0.001502879133951
AggReturn,2018-06-27 00:00:00,252,0.0043279933719207
AggReturn,2018-06-27 00:00:00,126,0.0022216712313668
AggReturn,2018-06-27 00:00:00,63,0.003510659115246
AggReturn,2018-06-28 00:00:00,252,-0.0076303316713174
AggReturn,2018-06-28 00:00:00,126,-0.0052083271889045
AggReturn,2018-06-28 00:00:00,63,0.0035036859140812
AggReturn,2018-06-29 00:00:00,252,0.0048276433721629
AggReturn,2018-06-29 00:00:00,126,0.0021097508425526
AggReturn,2018-06-29 00:00:00,63,0.000475859146308
AggReturn,2018-07-02 00:00:00,252,0.0001986649247534
AggReturn,2018-07-02 00:00:00,126,0.0041446547532047
AggReturn,2018-07-02 00:00:00,63,0.0029409963410407
AggReturn,2018-07-03 00:00:00,252,0.0022917465217045
AggReturn,2018-07-03 00:00:00,126,-0.0018933339723974
AggReturn,2018-07-03 00:00:00,63,-0.0066667149509947
AggReturn,2018-07-05 00:00:00,252,-0.0068504434032
AggReturn,2018-07-05 00:00:00,126,-0.0062750932416276
